Start,End,Duration,Observer,BV,TV,UV,MK,OS,BE,NH,SS,CH,NG,UA,RS,BW,SW,RT,RL,UB,GE,UE,AK,ML,PG,UF,UR,TOTAL,WindSpd,WindDir,Temp,CloudCover,Visibility,FlightDIR,FlightHT,SkyCode,Counter,Observer1,Observer2,Observer3,Observer4,HawkYear
'2018-12-10 12:00','2018-12-10 13:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,8.5,315,-2,5,33,225,'1: Eye level to 30m','0: Clear','Jesse Amesbury',?,?,?,?,2018
'2018-12-10 11:00','2018-12-10 12:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,315,-3,20,33,?,?,'1: Partly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-10 10:00','2018-12-10 11:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,315,-3,75,12,?,?,'2: Mostly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-10 09:00','2018-12-10 10:00',60,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.5,315,-4,95,9,225,'2: Unaided eye','3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-10 08:00','2018-12-10 09:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,315,-5,100,9,?,?,'3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-09 14:00','2018-12-09 15:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,?,-1,95,9,?,(none),'3: Overcast','Scott Morrison',?,?,?,?,2018
'2018-12-09 13:00','2018-12-09 14:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,?,-1,95,9,?,(none),'3: Overcast','Scott Morrison',?,?,?,?,2018
'2018-12-09 12:00','2018-12-09 13:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,?,-1,95,9,?,(none),'3: Overcast','Scott Morrison',?,?,?,?,2018
'2018-12-09 11:00','2018-12-09 12:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,?,-2,95,9,?,?,'3: Overcast','Scott Morrison',?,?,?,?,2018
'2018-12-09 10:00','2018-12-09 11:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,?,-4,90,33,?,(none),'2: Mostly Cloudy','Scott Morrison',?,?,?,?,2018
